epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.921,2.00062,6.32832,0.0099,0.86286,0.03097,0.03497,0.01627,1.72858,8.82958,0.01077,0.000996441,0.000332147,0.000996441,0.000332147,0.000996441,0.000332147,0.000996441,0.000332147
2,253.237,1.82039,4.69977,0.00877,0.76311,0.1449,0.13026,0.06729,1.65138,5.62184,0.01009,0.00197668,0.000658892,0.00197668,0.000658892,0.00197668,0.000658892,0.00197668,0.000658892
3,350.121,1.75848,3.9429,0.00865,0.81275,0.19142,0.18065,0.09939,1.57432,2.15865,0.00966,0.00293711,0.000979037,0.00293711,0.000979037,0.00293711,0.000979037,0.00293711,0.000979037
4,444.008,1.75548,3.13563,0.00835,0.83005,0.20151,0.20008,0.10943,1.59559,1.88214,0.00976,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,537.088,1.66896,2.7742,0.00799,0.85784,0.22049,0.22573,0.12911,1.56539,1.56659,0.00968,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,630.58,1.68922,2.45262,0.00842,0.86545,0.22636,0.23607,0.13718,1.53797,1.59342,0.00943,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,724.204,1.6314,2.11287,0.00807,0.66788,0.23285,0.2959,0.17398,1.52763,1.88907,0.00937,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,817.219,1.6489,1.99778,0.00792,0.67067,0.23921,0.33274,0.19274,1.51083,1.43042,0.00938,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,911.611,1.63803,1.80857,0.00776,0.67324,0.24259,0.35543,0.21524,1.5242,1.39114,0.00891,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,1004.97,1.64642,1.71711,0.00782,0.47207,0.33228,0.34869,0.21633,1.5082,1.32156,0.00896,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,1098.53,1.61374,1.59801,0.00771,0.81808,0.31162,0.41814,0.24779,1.55115,1.33554,0.00926,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,1191.73,1.64157,1.57452,0.00824,0.88959,0.32319,0.44861,0.26962,1.48975,1.289,0.00872,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,1285.32,1.61006,1.48865,0.00775,0.63897,0.38713,0.43431,0.25854,1.48088,1.27711,0.00869,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,1379.24,1.59232,1.38545,0.00724,0.61149,0.37573,0.44787,0.26581,1.50262,1.27951,0.00913,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,1472.27,1.58097,1.38739,0.00773,0.60685,0.41969,0.46321,0.27236,1.48983,1.23037,0.00891,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,1565.11,1.58361,1.34265,0.00746,0.64169,0.42986,0.49443,0.29341,1.46512,1.21398,0.00856,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,1658.14,1.57737,1.32915,0.00741,0.59253,0.46329,0.50207,0.28666,1.48206,1.26285,0.00872,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,1750.83,1.55442,1.25388,0.00718,0.68486,0.4514,0.50496,0.29445,1.45885,1.20426,0.00842,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,1844.74,1.56223,1.24675,0.00728,0.70812,0.4397,0.50159,0.30099,1.46186,1.23798,0.00855,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,1937.46,1.56781,1.23352,0.00743,0.75591,0.42432,0.5211,0.30887,1.46286,1.17498,0.00856,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,2030.29,1.55008,1.20457,0.00717,0.72629,0.4528,0.51351,0.30876,1.44296,1.19971,0.00825,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,2123.85,1.54012,1.16297,0.00703,0.72565,0.42878,0.52877,0.31415,1.44223,1.14638,0.00858,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,2218.61,1.53919,1.183,0.00736,0.66064,0.47348,0.51148,0.29446,1.43439,1.16704,0.00839,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,2314.08,1.54056,1.16893,0.00728,0.68093,0.53429,0.59398,0.33528,1.44863,1.17104,0.00846,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,2409.5,1.526,1.11378,0.00698,0.82769,0.44487,0.56104,0.3109,1.42209,1.15753,0.00826,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,2503.57,1.50999,1.09135,0.00682,0.71652,0.48519,0.56362,0.33358,1.43075,1.11747,0.00847,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,2597.27,1.509,1.09276,0.00703,0.66735,0.47988,0.54491,0.32071,1.44597,1.15967,0.00835,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,2691.39,1.5365,1.11375,0.00713,0.70022,0.49366,0.55383,0.3303,1.4123,1.15386,0.00819,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,2785.07,1.5035,1.07374,0.00688,0.67402,0.49585,0.56045,0.32399,1.44131,1.14527,0.00834,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,2878.29,1.48014,1.05331,0.00688,0.72416,0.49884,0.5698,0.33172,1.41497,1.16555,0.00818,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
